VariableCode,RegionCode,YearCode,AggValue
rgdpo,BHS,1980,6073.93408203125000000
emp,BHS,1980,0.07158590853214260
rgdpo,BHS,1990,7544.51269531250000000
emp,BHS,1990,0.11340465396642700
rgdpo,BHS,2000,10634.10156250000000000
emp,BHS,2000,0.14912873506546000
rgdpo,BHS,2010,11732.66503906250000000
emp,BHS,2010,0.16845510900020600
rgdpo,BHS,2019,12880.32812500000000000
emp,BHS,2019,0.20731556415557900
rgdpo,BIH,1990,4715.13427734375000000
emp,BIH,1990,1.68987882137299000
rgdpo,BIH,2000,24712.36328125000000000
emp,BIH,2000,0.64330375194549600
rgdpo,BIH,2010,37825.78906250000000000
emp,BIH,2010,0.64835596084594700
rgdpo,BIH,2019,45519.39453125000000000
emp,BIH,2019,0.69026356935501100
rgdpo,BLR,1990,145443.54687500000000000
emp,BLR,1990,5.12582063674927000
rgdpo,BLR,2000,97634.82031250000000000
emp,BLR,2000,4.37210941314697000
rgdpo,BLR,2010,177298.06250000000000000
emp,BLR,2010,4.57667160034180000
rgdpo,BLR,2019,204734.53125000000000000
emp,BLR,2019,4.30644178390503000
rgdpo,BLZ,1970,487.28009033203100000
rgdpo,BLZ,1980,762.93865966796900000
emp,BLZ,1980,0.04157815501093860
rgdpo,BLZ,1990,1349.09082031250000000
emp,BLZ,1990,0.05838315933942790
rgdpo,BLZ,2000,1615.19079589844000000
emp,BLZ,2000,0.08190069347620010
rgdpo,BLZ,2010,2510.35522460938000000
emp,BLZ,2010,0.12022498250007600
rgdpo,BLZ,2019,2186.10034179688000000
emp,BLZ,2019,0.15851847827434500
rgdpo,BMU,1970,10806.72265625000000000
rgdpo,BMU,1980,14864.28125000000000000
rgdpo,BMU,1990,16850.43554687500000000
emp,BMU,1990,0.03484463691711430
rgdpo,BMU,2000,10145.16699218750000000
emp,BMU,2000,0.03689999878406520
rgdpo,BMU,2010,4456.47167968750000000
emp,BMU,2010,0.03641069307923320
rgdpo,BMU,2019,3138.29833984375000000
emp,BMU,2019,0.03420729562640190
rgdpo,BOL,1960,6939.78857421875000000
emp,BOL,1960,1.54679167270660000
rgdpo,BOL,1970,9393.69628906250000000
emp,BOL,1970,1.78012406826019000
rgdpo,BOL,1980,13809.78906250000000000
emp,BOL,1980,2.20312738418579000
rgdpo,BOL,1990,16027.40039062500000000
emp,BOL,1990,2.89039945602417000
rgdpo,BOL,2000,27483.78320312500000000
emp,BOL,2000,3.67149639129639000
rgdpo,BOL,2010,52743.54296875000000000
emp,BOL,2010,4.44462585449219000
rgdpo,BOL,2019,98838.71875000000000000
emp,BOL,2019,5.54382562637329000
rgdpo,BRA,1960,166534.23437500000000000
emp,BRA,1960,22.57844161987300000
avh,BRA,1960,2134.00000000000000000
rgdpo,BRA,1970,354415.84375000000000000
emp,BRA,1970,29.11733055114750000
avh,BRA,1970,2145.00000000000000000
rgdpo,BRA,1980,709288.00000000000000000
emp,BRA,1980,43.31060028076170000
avh,BRA,1980,1985.00000000000000000
rgdpo,BRA,1990,954536.31250000000000000
emp,BRA,1990,61.63193130493160000
avh,BRA,1990,1879.00000000000000000
rgdpo,BRA,2000,1653511.62500000000000000
emp,BRA,2000,68.13045501708980000
avh,BRA,2000,1837.92704997124000000
rgdpo,BRA,2010,2938061.75000000000000000
emp,BRA,2010,86.35382843017580000
avh,BRA,2010,1761.34574713873000000
rgdpo,BRA,2019,3080006.25000000000000000
emp,BRA,2019,93.95682525634770000
avh,BRA,2019,1707.79505786682000000
rgdpo,BRB,1960,2172.33081054688000000
emp,BRB,1960,0.07753770798444750
rgdpo,BRB,1970,3682.42138671875000000
emp,BRB,1970,0.07967923581600190
rgdpo,BRB,1980,3225.43579101563000000
emp,BRB,1980,0.09929999709129330
rgdpo,BRB,1990,4122.66845703125000000
emp,BRB,1990,0.10520000010728800
rgdpo,BRB,2000,6402.28222656250000000
emp,BRB,2000,0.12899999320507000
rgdpo,BRB,2010,4743.39941406250000000
emp,BRB,2010,0.12700000405311600
rgdpo,BRB,2019,3502.85327148438000000
emp,BRB,2019,0.13225862383842500
rgdpo,BRN,1970,8939.93457031250000000
rgdpo,BRN,1980,19848.16015625000000000
emp,BRN,1980,0.06565165519714360
rgdpo,BRN,1990,15687.98242187500000000
emp,BRN,1990,0.10213702172040900
rgdpo,BRN,2000,20156.36914062500000000
emp,BRN,2000,0.14236378669738800
rgdpo,BRN,2010,31852.83593750000000000
emp,BRN,2010,0.17904566228389700
rgdpo,BRN,2019,31728.35742187500000000
emp,BRN,2019,0.22235803306102800
rgdpo,BTN,1970,591.24481201171900000
rgdpo,BTN,1980,848.50280761718800000
emp,BTN,1980,0.16409718990325900
rgdpo,BTN,1990,1568.93481445313000000
emp,BTN,1990,0.19899989664554600
rgdpo,BTN,2000,2616.88159179688000000
emp,BTN,2000,0.22349943220615400
rgdpo,BTN,2010,6100.52148437500000000
emp,BTN,2010,0.26891934871673600
rgdpo,BTN,2019,8985.57617187500000000
emp,BTN,2019,0.32046073675155600
rgdpo,BWA,1960,273.98275756835900000
emp,BWA,1960,0.17231920361518900
rgdpo,BWA,1970,519.69274902343800000
emp,BWA,1970,0.19708921015262600
rgdpo,BWA,1980,2331.99023437500000000
emp,BWA,1980,0.28662809729576100
rgdpo,BWA,1990,9269.88671875000000000
emp,BWA,1990,0.42610907554626500
rgdpo,BWA,2000,18178.06054687500000000
emp,BWA,2000,0.60218083858490000
