Code,Metric,Year,Value
CIV,rgdpe,2010,59523.98438
CIV,pop,2010,20.53295
CIV,rgdpe,2019,131381.7813
CIV,pop,2019,25.716544
CMR,rgdpe,1960,8495.817383
CMR,pop,1960,5.436186988
CMR,rgdpe,1970,11288.8916
CMR,pop,1970,6.519762
CMR,rgdpe,1980,21413.28906
CMR,pop,1980,8.621406
CMR,rgdpe,1990,30731.51563
CMR,pop,1990,11.780088
CMR,rgdpe,2000,42376.53906
CMR,pop,2000,15.513945
CMR,rgdpe,2010,59041.27344
CMR,pop,2010,20.341241
CMR,rgdpe,2019,92646.71094
CMR,pop,2019,25.87638
COD,rgdpe,1960,42631.89063
COD,pop,1960,15.26071507
COD,rgdpe,1970,58999.02344
COD,pop,1970,20.011036
COD,rgdpe,1980,58496.72656
COD,pop,1980,26.358908
COD,rgdpe,1990,52295.03125
COD,pop,1990,34.612023
COD,rgdpe,2000,26067.96875
COD,pop,2000,47.105826
COD,rgdpe,2010,46463.82031
COD,pop,2010,64.563854
COD,rgdpe,2019,89078.09375
COD,pop,2019,86.790567
COG,rgdpe,1960,1106.808838
COG,pop,1960,1.045122834
COG,rgdpe,1970,2001.099243
COG,pop,1970,1.326885
COG,rgdpe,1980,4205.19043
COG,pop,1980,1.777934
COG,rgdpe,1990,5859.989746
COG,pop,1990,2.356737
COG,rgdpe,2000,8265.037109
COG,pop,2000,3.127411
COG,rgdpe,2010,21551.61523
COG,pop,2010,4.273731
COG,rgdpe,2019,24147.4707
COG,pop,2019,5.380508
COL,rgdpe,1960,60172.27344
COL,pop,1960,15.99025078
COL,rgdpe,1970,101758.1406
COL,pop,1970,21.480065
COL,rgdpe,1980,206944.2188
COL,pop,1980,26.900506
COL,rgdpe,1990,251142.3438
COL,pop,1990,33.102575
COL,rgdpe,2000,306335.8438
COL,pop,2000,39.629968
COL,rgdpe,2010,524851.6875
COL,pop,2010,45.2227
COL,rgdpe,2019,695621
COL,pop,2019,50.339443
COM,rgdpe,1960,316.375061
COM,pop,1960,0.178100702
COM,rgdpe,1970,656.5505981
COM,pop,1970,0.230054
COM,rgdpe,1980,1046.620728
COM,pop,1980,0.307829
COM,rgdpe,1990,1545.841187
COM,pop,1990,0.411594
COM,rgdpe,2000,1535.47583
COM,pop,2000,0.542357
COM,rgdpe,2010,1705.092041
COM,pop,2010,0.689692
COM,rgdpe,2019,2659.659668
COM,pop,2019,0.850886
CPV,rgdpe,1960,217.6846924
CPV,pop,1960,0.196592369
CPV,rgdpe,1970,411.612793
CPV,pop,1970,0.268627
CPV,rgdpe,1980,447.4958191
CPV,pop,1980,0.283847
CPV,rgdpe,1990,752.5081177
CPV,pop,1990,0.33795
CPV,rgdpe,2000,1587.369263
CPV,pop,2000,0.428188
CPV,rgdpe,2010,3139.087891
CPV,pop,2010,0.492654
CPV,rgdpe,2019,3953.20752
CPV,pop,2019,0.549935
CRI,rgdpe,1960,6799.78125
CRI,pop,1960,1.328468883
CRI,rgdpe,1970,11942.98633
CRI,pop,1970,1.847394
CRI,rgdpe,1980,20116.62891
CRI,pop,1980,2.389977
CRI,rgdpe,1990,24932.36914
CRI,pop,1990,3.119433
CRI,rgdpe,2000,41792.96484
CRI,pop,2000,3.962372
CRI,rgdpe,2010,64771.82422
CRI,pop,2010,4.577378
CRI,rgdpe,2019,97151.05469
CRI,pop,2019,5.047561
CUW,rgdpe,2010,4159.329102
CUW,pop,2010,0.149192
CUW,rgdpe,2019,3706.767822
CUW,pop,2019,0.163424
CYM,rgdpe,1970,317.4029846
CYM,pop,1970,0.009144
CYM,rgdpe,1980,784.5512695
CYM,pop,1980,0.016212
CYM,rgdpe,1990,1971.261353
CYM,pop,1990,0.025312
CYM,rgdpe,2000,3568.702881
CYM,pop,2000,0.042303
CYM,rgdpe,2010,3888.335938
